"","country","iso3c","year","GDP_pc_const2015","GDP_currentLCU","official_exchange","pop_tot","cpi","FDI_netinflow_share","trade_pct_GDP","income_tax_pct_all"
"1","GTM","GTM",2000,3195.38807828092,149743023000,7.76315916666667,11589761,51.8587056854268,-4.08835554722306,49.1455879049537,24.4745083468245
"2","GTM","GTM",2001,3192.30235188806,144639135000,7.8585925,11871565,55.6370654665423,-5.088199966054,70.6690331769476,25.9287095772079
"3","GTM","GTM",2002,3239.56082941934,159908446000,7.821645,12147518,60.1618224457978,-4.97449876130187,67.1048115244645,28.0412499287812
"4","GTM","GTM",2003,3250.83475571572,171335652000,7.94084666666667,12415334,63.5329761815383,0.0903239703402523,67.0023391862425,27.5678399973225
"5","GTM","GTM",2004,3282.31464035983,187356905000,7.94649583333333,12682108,68.3479005922599,1.36317570702825,70.2148723581872,26.0876758553232
"6","GTM","GTM",2005,3320.15756486808,204462894000,7.63394416666667,12948292,74.5734715419506,2.01617500337249,67.1036996082037,27.6618733470694
"7","GTM","GTM",2006,3427.67155026705,226134533000,7.60263083333333,13213330,79.466127258514,2.13587522888421,67.9119237396616,28.0600038162897
"8","GTM","GTM",2007,3573.59263299097,257576324000,7.67330416666667,13477017,84.887002530684,2.55959192771149,69.0013643101763,27.4147358283756
"9","GTM","GTM",2008,3620.82336964724,291089203000,7.56002833333333,13739299,94.5265677653575,1.89952208705823,65.1787305213103,29.0754287084782
"10","GTM","GTM",2009,3570.29584202465,303007101000,8.16155541666667,14000190,96.2839135945871,1.34627822535543,58.0406869738673,30.4926747843314
"11","GTM","GTM",2010,3606.4234821491,327762554000,8.05777083333333,14259687,100,2.71030706792051,63.1251925746222,29.6876966594032
"12","GTM","GTM",2011,3688.85893591305,364949303000,7.78541833333333,14521515,106.214123930671,1.87038244023626,65.0470510420457,31.5753905573932
"13","GTM","GTM",2012,3731.66847179214,388499254000,7.83360541666667,14781942,110.230937685245,2.82256297187213,61.9594193352042,31.4309850878503
"14","GTM","GTM",2013,3802.14635151493,416383221000,7.85681375,15043981,115.018676610491,2.87216145071537,56.6852207524472,34.7003870157068
"15","GTM","GTM",2014,3903.05196634916,447326327000,7.73223333333333,15306316,118.950430995714,2.4330214271829,55.0832792812572,36.573183865451
"16","GTM","GTM",2015,3994.62908519019,476022821000,7.654815,15567419,121.791824121623,1.93508800636056,49.8934533224826,35.2719160658228
"17","GTM","GTM",2016,4034.15057717449,502001705000,7.59993708333333,15827690,127.209662777719,1.28045871307284,46.3727375188895,36.9438052189608
"18","GTM","GTM",2017,4091.25998307266,526507414000,7.34793875,16087418,132.838100804773,1.39328983248607,46.0694204013621,36.578760427661
"19","GTM","GTM",2018,4163.47630221389,551368082100,7.51916458333333,16346950,137.822002853775,1.25790048523713,47.011682071395,35.6596890728744
"20","GTM","GTM",2019,4263.70844366435,593972019900,7.69669833333333,16604026,142.921394880398,1.51707101923107,45.5167427491815,35.0299254854715
"21","GTM","GTM",2020,4124.14353853545,600089443300,7.72165,16858333,147.515518254925,1.29237508091971,41.1430280030057,36.1839454747771
"22","GTM","GTM",2021,4388.72407207344,665567936200,7.73438833333333,17109746,153.80123012521,4.21410178870597,49.491532191391,36.7496966664165
