"","country","iso3c","year","GDP_pc_const2015","GDP_currentLCU","official_exchange","pop_tot","cpi","FDI_netinflow_share","trade_pct_GDP","income_tax_pct_all"
"1","UGA","UGA",2000,508.761992051971,9364317417900,1644.47533333333,24020697,53.6994387766516,2.59476174980504,32.7490333383822,NA
"2","UGA","UGA",2001,519.086327469606,10296365610000,1755.65875,24763325,54.7010005634685,2.59388837097761,35.3299767819725,NA
"3","UGA","UGA",2002,547.143476728683,10840666713000,1797.5505,25545090,54.5437305308278,2.98852729237692,36.2777941561831,NA
"4","UGA","UGA",2003,564.664570127162,12443497237000,1963.72008333333,26354736,59.278386250326,3.06033199910157,36.5857264641268,NA
"5","UGA","UGA",2004,585.521283155682,15362227054000,1810.30471365151,27146084,61.484305392365,3.72085072270847,35.4600862456436,NA
"6","UGA","UGA",2005,604.766007947774,16050626596000,1780.54026086523,27946588,66.6789461480449,4.11082611076276,38.9942854839061,NA
"7","UGA","UGA",2006,650.740075298082,18209404509000,1831.45185089088,28773227,71.553627951572,6.45705802026041,43.6332857896204,NA
"8","UGA","UGA",2007,685.088077156407,21186563444000,1723.49158714041,29629804,75.9459551546768,6.65659725038112,46.7774166522822,NA
"9","UGA","UGA",2008,723.268339058884,24497446507000,1720.4438791511,30509862,85.0980925051349,5.04737190164171,56.2582682050634,NA
"10","UGA","UGA",2009,750.264404598144,48495172152000,2030.48807433418,31412520,96.1755292184112,3.3491615513943,47.0638780748379,NA
"11","UGA","UGA",2010,769.790370056701,54117241671000,2177.55750683358,32341728,100,2.03900471067451,38.2692490371291,NA
"12","UGA","UGA",2011,817.958450403996,64759582821000,2522.80203252264,33295738,116.564349617451,3.2086060344385,39.7552255606122,NA
"13","UGA","UGA",2012,825.121811829417,69825188690000,2504.56307758328,34273295,131.343587476395,4.41438584859015,43.5021371397314,NA
"14","UGA","UGA",2013,830.480369289886,74924152556000,2586.88956856561,35273570,137.786264630974,3.79031709675384,43.1091548734687,NA
"15","UGA","UGA",2014,847.352288768404,82771227577000,2599.78820061067,36336539,142.02416598956,3.24589612959277,36.0144010819085,NA
"16","UGA","UGA",2015,864.180059289672,91582107734000,3240.64542033826,37477356,149.962871001285,2.27760507458345,37.6892983324358,33.9119746491048
"17","UGA","UGA",2016,875.796253120254,100548527460000,3420.09800724736,38748299,158.52031485061,2.1425304891559,31.2093620232119,34.073258923344
"18","UGA","UGA",2017,872.185876494007,108518040920000,3611.22445804461,40127085,166.778774735588,2.61088918011351,36.8370529334101,33.9768278428576
"19","UGA","UGA",2018,896.162531916137,120484777460000,3727.06899484612,41515395,171.141727345227,3.20512810607337,36.6384055999567,32.9741236877195
"20","UGA","UGA",2019,922.023174053553,132089774790000,3704.04907169681,42949080,176.049367040563,3.68620371225002,39.3610539647435,33.9279740295327
"21","UGA","UGA",2020,918.120097853684,139689045108200,3718.24892270924,44404611,181.882451026004,3.16881317788785,37.0006923916369,36.8244992955005
"22","UGA","UGA",2021,920.547614479718,148310247630400,3587.05170733908,45853778,185.892180700766,4.06673785807037,41.7136307424781,36.5146124539073
