"","country","iso3c","year","GDP_pc_const2015","GDP_currentLCU","official_exchange","pop_tot","cpi","FDI_netinflow_share","trade_pct_GDP","income_tax_pct_all"
"1","SEN","SEN",2000,1076.89230450131,4270611957000,710.207977031367,9704287,80.8836341575528,1.35774452423375,48.680089723263,NA
"2","SEN","SEN",2001,1096.89542159808,4766315891400,732.397693260228,9938027,83.2895185343412,0.692757272925305,49.7205780648314,NA
"3","SEN","SEN",2002,1071.45845067116,4860433962900,693.713226496374,10180950,85.2362460123422,1.18024440779397,53.1442994641329,NA
"4","SEN","SEN",2003,1103.90288694304,5084959063800,579.897426172466,10434504,85.1919257008151,0.986458285223565,50.8212198933376,NA
"5","SEN","SEN",2004,1126.63551243614,5313888669800,527.338032291576,10698691,85.6304782132255,1.36534663159615,53.6592031275529,NA
"6","SEN","SEN",2005,1145.70763618967,5804604948700,527.258362649626,10974057,87.0959010663482,1.52551294776184,54.9032435689485,NA
"7","SEN","SEN",2006,1142.29495622983,6111292249300,522.425624895176,11263387,88.9356154507228,2.47770837743402,54.1362378092613,NA
"8","SEN","SEN",2007,1144.06782288587,6698104789500,478.633718476363,11563869,94.1412876405037,2.51145667497291,59.2713043549794,NA
"9","SEN","SEN",2008,1155.55093097323,7516880064900,446.000041432788,11872929,101.058038553206,2.70404739796078,62.7617698176319,NA
"10","SEN","SEN",2009,1155.992058669,7593295291500,470.293423341398,12195029,98.7862321407255,2.05299535843602,52.3072908773365,NA
"11","SEN","SEN",2010,1163.22758829564,7976734607700,494.794262222947,12530121,100,1.68778336701059,52.4578551962948,NA
"12","SEN","SEN",2011,1147.09296053751,8394956688200,471.248625718937,12875880,103.40322829787,1.90106996405963,57.5768785989578,NA
"13","SEN","SEN",2012,1160.91753870308,9016869323200,510.556338454251,13231833,104.869722570496,1.5636801956504,61.9753040040375,NA
"14","SEN","SEN",2013,1157.11512984575,9343922875900,493.899623852237,13595566,105.614555041963,1.64581763022307,60.6267663596737,NA
"15","SEN","SEN",2014,1196.16430771783,9.775039e+12,493.757329875312,13970308,104.46308699624,2.03613121185768,58.4425289760992,NA
"16","SEN","SEN",2015,1238.12639978389,1.050865e+13,591.21169798261,14356181,104.604333556103,2.30194934655845,58.1103376742017,26.2383843332077
"17","SEN","SEN",2016,1281.54612063228,1.1283396e+13,592.605615063022,14751356,105.48016989023,2.48110320660753,54.1081692072139,27.3555003162345
"18","SEN","SEN",2017,1339.56800118014,1.2191796e+13,580.656749587858,15157793,106.870560070658,2.80185380597297,57.7052798455617,28.0294949003722
"19","SEN","SEN",2018,1384.64207468007,1.284009e+13,555.446458398226,15574909,107.363218008605,3.66765809010971,61.7898394793183,28.6175127750037
"20","SEN","SEN",2019,1409.97082080725,1.3712659e+13,585.911013180369,16000781,109.252930368352,4.55247618583037,64.2362506061005,28.4678694254915
"21","SEN","SEN",2020,1391.04695489477,1.411942e+13,575.586004510945,16436120,112.031392832995,7.52395708111688,60.0468716137065,30.3152441151851
"22","SEN","SEN",2021,1443.38454297141,1.5261119e+13,554.530675033104,16876720,114.474038812672,9.40426190185874,69.3759939883832,29.1668234184632
