"","country","iso3c","year","GDP_pc_const2015","GDP_currentLCU","official_exchange","pop_tot","cpi","FDI_netinflow_share","trade_pct_GDP","income_tax_pct_all"
"1","ECU","ECU",2000,3973.03005010677,17530685000,1,12626507,45.7007304499548,-0.133637950998727,65.4042953826391,NA
"2","ECU","ECU",2001,4069.55768474214,23127055000,1,12845521,62.9192783312019,2.32873824691471,56.128486744205,NA
"3","ECU","ECU",2002,4196.57413303095,27054197000,1,13070609,70.7738681077356,2.8951552675912,54.7966439366136,NA
"4","ECU","ECU",2003,4242.77864407651,30965208000,1,13301184,76.3857863458771,2.81449236195545,52.3575426975979,NA
"5","ECU","ECU",2004,4454.49472618434,35194947000,1,13534593,78.4812256721704,2.37801066697343,56.0745467239942,NA
"6","ECU","ECU",2005,4614.70842300313,40278849000,1,13770012,80.1829160470282,1.22499487397379,61.9581507902572,NA
"7","ECU","ECU",2006,4732.87573654346,45690762000,1,14009061,82.827948757383,0.594056305145447,65.8423556166562,NA
"8","ECU","ECU",2007,4740.75898913528,49848725000,1,14251835,84.7132659206024,0.388921736574005,68.8505854462677,NA
"9","ECU","ECU",2008,4966.6192952595,61139438000,1,14496797,91.8292615317341,1.72949581275971,74.5902963648439,NA
"10","ECU","ECU",2009,4937.0383970139,60094978000,1,14742766,96.5676223093753,0.513570185696715,57.3473460627608,NA
"11","ECU","ECU",2010,5051.38961980715,68151329000,1,14989585,100,0.243419054034351,65.7773849135062,NA
"12","ECU","ECU",2011,5390.58436739307,78986648000,1,15237728,104.474532657958,0.817966548837348,70.0356837525249,NA
"13","ECU","ECU",2012,5611.68047480911,87735048000,1,15483883,109.804532676033,0.646739602691481,67.0029290916898,NA
"14","ECU","ECU",2013,5924.85887264747,96570334000,1,15722989,112.793165848571,0.752903273859877,63.4333003342414,27.2306767836812
"15","ECU","ECU",2014,6084.30764715655,102717794000,1,15957994,116.841560903266,0.751953401658059,61.4263766217565,27.9171291546097
"16","ECU","ECU",2015,6002.1083111024,97209558000,1,16195902,121.476252276892,1.36067004574538,47.8280397077826,30.2890693191106
"17","ECU","ECU",2016,5872.45971953305,97671433000,1,16439585,123.575683382786,0.782395470866329,40.5344917996647,29.2489211505842
"18","ECU","ECU",2017,6127.14946730109,104467486000,1,16696944,124.09140868848,0.603861006341435,43.6177233172817,27.9638062014052
"19","ECU","ECU",2018,6075.16615648774,107478962000,1,17015672,123.813315813595,1.29260902532741,48.0093480992122,31.1168335893782
"20","ECU","ECU",2019,5970.1089450969,107595829000,1,17343740,124.142674729473,0.910242994868348,48.0828499402147,29.7298529642829
"21","ECU","ECU",2020,5342.73903751582,95865472000,1,17588595,123.721989477427,1.14233402070353,43.9893124398324,32.332944231177
"22","ECU","ECU",2021,5798.36443701443,107435101000,1,17797737,123.886850743311,0.603682730215786,53.1511986943634,27.9464054165534
